よろこばしく	喜ばしく 悦ばしく
よろし	宜 宜し 良ろし
よわい	ヨワい 弱い
よわよわし	弱々し 弱弱し
よわよわしい	弱々しい 弱弱しい
よわよわしく	弱々しく 弱弱しく
りりしく	りゝしく 凛々しく
わか	少 若
わかい	少い 若い
わかき	若 若き
わかわかしい	若々しい 若若しい
わかわかしく	若々しく 若わかしく
わずらわし	煩し 煩わし
わずらわしく	煩しく 煩わしく
わびし	侘 侘し 侘びし 詫びし
わびしい	侘しい 侘びしい
わびしく	侘しく 侘びしく
わりぃ	悪ぃ 悪りぃ
わる	悪 悪る 惡
わるい	ワルい 悪い 惡い
わるかっ	ワルかっ 悪かっ 悪るかっ
わるく	ワルく 悪く 惡く
